Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Count (1-10);Count (10-100);Count (>100);Main temper (Finnish);Other tempers (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Cairn;Stray find;Hoard;Other context;Decoration;Wave motif;Grid motif;Cord impression;Decoration elements (Finnish);Wall thickness 1 (mm);Wall thickness 2 (mm);Rim thickness 1 (mm);Rim thickness 2 (mm);Other notes (Finnish);Crust;;Photo ID
IA;423010033;Lieto;Ryökäs;KM;15650;1;6723183;3250714;25;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Verkkokuvio; ristikkokuvio";;;;;Vain pintaa jäljellä. Alanro :4 - ei voi sanoa onko savikiekosta;FALSE;;KM 15650_1
IA;701040033;Loviisa;Jokiniemen kartano;KM;15660;1;6717620;3470320;22,5;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;FALSE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Kivikautista keramiikkaa?;FALSE;;KM 15660_1
IA;102010010;Huittinen;Hiukkavainio;KM;15861;1;6794790;3269370;52;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Yleiskeramiikkaa, karkeaa;FALSE;;KM 15861_1
IA;271010038;Kokemäki;Leikkimäki (Äimälä);KM;15862;1;6805040;3248310;30;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;FALSE;;KM 15862_1
IA;210010005;Hämeenlinna;Hommosenkärki eli -saari 1;KM;15864;1;6779667;3343410;88;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;FALSE;;KM 15864_1
IA;109010027;Hämeenlinna;Patailan puisto;KM;16229;1;6768022;3365025;87;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Hyvin pieniä paloja rautakauden yleiskeramiikkaa, ei kuvattu;FALSE;;KM 16229_1
IA;50010029;Eura;Pappilanmäki;KM;16283;1;6790601;3237615;34;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;;FALSE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;nuorapainanne;4;5;;;Pyöreäseinäinen astia, kymmenkunta riviä nuorapainannetta, ohut nuora;FALSE;;KM 16283_1
IA;50010029;Eura;Pappilanmäki;KM;16307;1;6790601;3237615;34;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;6;7;;;Tummapintaista, koristelematonta keramiikkaa, pinta siloitettu, seinämä kaareva;FALSE;;KM 16307_1
IA;837010018;Tampere;Linna;KM;18440;1;6824549;3332736;104;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;FALSE;TRUE;FALSE;kvartsi;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Pieniä pyöreitä kuoppia kyljen uloimmassa kohdassa;7;8;;;Suurin osa aineistosta historiallista romua, mutta tämä astia vanha. Hyvä karsta!;FALSE;;KM 18440_1
IA;503010005;Mynämäki;Franttilannummi - Junttilannummi;KM;19138;1;6739718;3226641;15;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Koristelematonta yleiskertsua, hieman profiloitu, sisäpinnassa EHKÄ vähän matskua. 1 pala ja vain vähän.;TRUE;;KM 19138_1
IA;781010004;Sysmä;Hyväniemi;KM;19225;1;6820560;3428980;80;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Karkeaa, paksua yleiskertsua. Sisäpinta tummahko, mutta ei karstaa.;FALSE;;KM 19225_1
IA;834010007;Tammela;Kankainen;KM;20510;1;6747673;3327224;100;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;Hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;7;;;;Röykkiöstä koristelematonta karkeahkoa astiaa. Sisäpinnassa tummentumaa, ei oikeastaan karstaa.;FALSE;;KM 20510_1
IA;932010007;Ylöjärvi;Ahrikkala;KM;6672;2;6850172;3303072;100;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;11;;;;Koristeettomia saviastianpaloja. Karkea sekoite. Sisäpinnat mustia, mahdollisesti karstaa muutamissa paloissa.;TRUE;;KM 6672_2
IA;82010032;Hattula;Anttila 1;KM;6720;2;6785531;3357237;82;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;FALSE;TRUE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;12;13;;;Koristeettomia karkeita isokokoisia keramiikanpaloja.;FALSE;;KM 6720_2
IA;680010003;Raisio;Käärmekallio;KM;15047;2;6716986;3235627;20;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;10;;;;;FALSE;;KM 15047_2
IA;98010009;Hollola;Lähteenmäki;KM;15785;2;6776900;3425520;86;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;yleiskeramiikkaa, kuutiokivi alanr 1;FALSE;;KM 15785_2
IA;734010033;Salo;Vanutehtaanmäki (1-4);KM;21499;2;6705195;3287208;21;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;kvartsi;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;14;;;;Pohjapalaa? Karkea. Karstaa ehkä aavistuksen, muuten nokeentunut pinta. RÖYKKIÖ 1.;TRUE;;KM 21499_2
IA;635010011;Pälkäne;Ristiänmäki;KM;22081;2;6806353;3354289;97;Pottery;Iron Age pottery;Pottery sherd;Dreijattu;Saviastian pala;1;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;painanteita;5;;;;Voimakkaasti profiloitu. Dreijattu. Hauta 1, ilm. arkun päältä. Ei kokonainen astia, alun perinkin laitettu osittaisena.;FALSE;;KM 22081_2
IA;734010035;Salo;Katajamäki;KM;6668;3;6705416;3287408;35;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;9;;;;Ulkopinta vaaleanruskeaa. Sisäpuoli musta. Sekoite karkea.;FALSE;;KM 6668_3
IA;932010007;Ylöjärvi;Ahrikkala;KM;6672;3;6850172;3303072;100;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;9;8;8;6;Koristeettomia saviastianpaloja. Karkea sekoite. Ainakin kolme reunapalaa, reuna pyöristetty.;TRUE;;KM 6672_3
IA;979010006;Pöytyä;Anivehmaanmäki;KM;14196;3;6759038;3251588;55;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;10;;;;H XLVII;FALSE;;KM 14196_3
IA;922010009;Vesilahti;Pajalahdenranta ja Riihimäki;KM;15046;3;6807515;3312684;80;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;Kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Karkeaa käyttökeramiikkaa;FALSE;;KM 15046_3
IA;82010067;Hattula;Puotila;KM;15173;3;6772470;3359952;88;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;Kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;FALSE;;KM 15173_3
IA;853010007;Turku;Koroinen;KM;15272;3;6715606;3241379;10;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;TRUE;FALSE;FALSE;Hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Nuorapainanne; yksirivinen";;;;;"Fragmentti ulkopinnasta; muuten päänumerolla yleiskeramiikkaa";FALSE;;KM 15272_3
IA;704000003;Rusko;Moisio-Rinnemaa;KM;15596;3;6725564;3237868;32,5;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;FALSE;TRUE;;hiekka;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;8;10;;;Karkeahkoa yleiskeramiikkaa, koristelematonta;FALSE;;KM 15596_3
IA;501010064;Salo;Riihenmäki;KM;15957;3;6696722;3292562;35;Pottery;Iron Age pottery;Pottery sherd;Morby;Saviastian pala;1;TRUE;FALSE;FALSE;"Suurirakeinen kivimurska; hiekka";;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Pyöreä ""kissantassupainanne""";10;;;;Alanrolla :5 punertavanruskeita paloja, joiden kummallakin pinnalla voimakas naarmutus;FALSE;;KM 15957_3
IA;587010020;Salo;Pajari;KM;16769;3;6709451;3294914;;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Uurreviiva, jonka alla joko vinoviiva- tai ristikkovöhyke; ristikkoviiva";5;8;;;Ei säilynyttä reunaa, mustanharmaa sileä pinta, kolminkertainen viiva;FALSE;;KM 16769_3
IA;635010011;Pälkäne;Ristiänmäki;KM;22081;3;6806353;3354289;97;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;9;;;;Karkeaa käyttökeramiikkaa;FALSE;;KM 22081_3
IA;734010035;Salo;Katajamäki;KM;6668;4;6705416;3287408;35;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;FALSE;TRUE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;8;;;;Tasapohjaisen astian kappaleita. Muutama pala pohjan reunasta. Muut kyljistä. Osassa ulkopinnoissa kevyttä naarmutusta. Ulkopinta vaaleanruskea, sisäpinta musta. Karkea sekoite. Mahdollisesti hieman karstaa.;TRUE;;KM 6668_4
IA;912010031;Sastamala;Tulonen;KM;6671;4;6821354;3289223;65;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;8;7;6;;Koristeettomia saviastianpaloja. Seassa profiloidun astian kappale, siinä reuna kapea ja päältä tasainen. 2 cm reunan alla profilointi ulospäin, jonka jälkeen astia lähtee kapenemaan. Astioiden pinnat pääosin vaaleanruskeita.;FALSE;;KM 6671_4
IA;853010016;Turku;Kaerla Mulli;KM;15165;4;6716477;3240756;22;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;ristikkonauha;8;;;;Alanrolla 9 pala nuorakoristeista keramiikkaa;FALSE;;KM 15165_4
IA;1000000118;Laitila;Soukainen;KM;22020;4;6767800;3212340;15;Pottery;Iron Age pottery;Pottery sherd;Decorated;Saviastian pala;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Aalto- tai kulmaviivaa, suora viiva;7;;;;Kahden suoran viivan välissä kolme kulmaviivaa vyöhykkeenä. Luettelon mukaan mustaa, erittäin hienoa keramiikkaa. Kuitenkin paksu. Hyvin tiivs. Ihan musta.Ei profilointia.;FALSE;;KM 22020_4
IA;734010035;Salo;Katajamäki;KM;6668;5;6705416;3287408;35;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;7;9;5;;Punaiseksi palaneita saviastian kappaleita. Yksi reunapala, jossa on kavennettu ja päältää tasainen reuna. Sekoite karkea.;FALSE;;KM 6668_5
